RAZÃO SOCIAL,Capital Humano,Governança Corporativa e Alta Gestão,Modelo de Negócios e Inovação,Capital Social,Meio Ambiente,"Mudança do Clima
(CDP Climate Change)"
MAGAZINE LUIZA S.A.,73.68%,75.82%,64.29%,73.63%,73.42%,71.4%
MARFRIG GLOBAL FOODS S.A.,61.23%,85.98%,74.59%,67.35%,77.28%,100.0%
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,74.56%,86.08%,72.41%,78.57%,69.57%,100.0%
"MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A",72.5%,73.81%,64.9%,64.82%,58.75%,14.3%
MINERVA S.A.,53.55%,72.49%,79.66%,77.3%,64.53%,71.4%
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,54.82%,67.85%,55.32%,64.49%,76.38%,71.4%
MOVIDA PARTICIPACOES SA,59.64%,72.7%,56.12%,65.61%,84.55%,71.4%
MRV ENGENHARIA E PARTICIPACOES S.A.,75.19%,78.34%,70.3%,72.98%,66.08%,71.4%
NATURA &CO HOLDING S.A.,84.69%,92.34%,91.68%,84.38%,84.8%,100.0%
NEOENERGIA S.A.,82.48%,90.62%,89.07%,89.47%,81.39%,100.0%
OCEANPACT SERVICOS MARITIMOS S.A.,60.88%,68.66%,77.24%,68.71%,62.48%,71.4%
ODONTOPREV S.A.,71.23%,68.52%,71.02%,75.33%,65.45%,57.1%
PBG S/A,72.4%,71.01%,79.71%,79.35%,64.13%,14.3%
PET CENTER COMERCIO  E PARTICIPACOES S.A.,38.41%,49.32%,31.86%,43.94%,41.06%,14.3%
PORTO SEGURO S.A.,61.03%,66.64%,58.21%,68.04%,77.73%,42.9%
RAIA DROGASIL S.A.,76.76%,88.97%,82.54%,81.2%,81.45%,85.7%
RAIZEN S.A.,71.29%,84.5%,77.33%,83.33%,76.39%,85.7%
REDE DOR SÃO LUIZ S.A.,66.83%,79.48%,73.35%,73.8%,76.56%,42.9%
RUMO S.A.,73.06%,86.76%,75.52%,79.79%,73.16%,71.4%
SANTOS BRASIL PARTICIPACOES S.A.,66.23%,69.36%,41.63%,64.22%,91.67%,71.4%
SENDAS DISTRIBUIDORA S.A.,73.52%,90.39%,71.41%,74.86%,52.08%,71.4%
SERENA ENERGIA S.A.,43.83%,76.95%,79.74%,69.17%,66.4%,42.9%
SIMPAR S.A.,61.45%,72.34%,54.45%,63.42%,73.95%,72.35%
SLC AGRICOLA S.A.,70.66%,86.54%,78.53%,71.52%,69.19%,71.4%
SYN PROP E TECH S.A.,64.62%,81.58%,45.15%,74.51%,73.0%,14.3%
TEGMA GESTAO LOGISTICA S.A.,60.22%,61.0%,49.18%,66.33%,68.65%,14.3%
TELEFÔNICA BRASIL S.A,84.03%,91.17%,93.79%,90.52%,92.17%,100.0%
TIM S.A.,81.68%,92.28%,86.45%,92.64%,87.11%,100.0%
TRÊS TENTOS AGROINDUSTRIAL S/A,68.06%,86.7%,82.33%,76.04%,69.15%,42.9%
ULTRAPAR PARTICIPACOES S.A.,70.93%,86.45%,55.1%,68.23%,62.61%,42.9%
USINAS SID DE MINAS GERAIS S.A.-USIMINAS,70.76%,80.68%,66.4%,85.06%,71.8%,42.9%
"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIP. S.A.",57.7%,72.5%,57.8%,61.97%,57.05%,85.7%
VIBRA ENERGIA S.A.,70.44%,86.64%,66.74%,75.14%,61.19%,71.4%
WEG S.A.,59.19%,85.05%,70.58%,75.3%,65.51%,71.4%
WILSON SONS S.A.,60.35%,72.2%,53.36%,72.13%,67.12%,42.9%
YDUQS PARTICIPACOES S.A.,68.9%,73.28%,70.39%,59.41%,49.39%,42.9%
